subject_id,layout,rt,hit
2,sr-led,609.0999999046326,True
2,nav-led,1301.7999999523163,True
2,balanced,1179.0999999046326,True
4,balanced,1999.0,True
4,sr-led,2938.399999856949,True
4,nav-led,3372.0999999046326,True
6,nav-led,2345.7999999523163,True
6,balanced,1183.7000000476837,True
6,sr-led,1082.3999998569489,True
8,nav-led,3187.2999999523163,True
8,balanced,2214.0,True
8,sr-led,3003.7000000476837,True
9,balanced,3178.399999856949,True
9,sr-led,3993.9000000953674,False
9,nav-led,2997.4000000953674,True
10,sr-led,2113.599999904633,True
10,nav-led,2781.0,True
10,balanced,2194.199999809265,False
12,balanced,2286.600000143051,True
12,sr-led,1789.2999999523163,True
12,nav-led,1994.3000001907349,True
13,nav-led,320.90000009536743,True
13,balanced,692.0,True
13,sr-led,691.7999999523163,True
14,nav-led,363.7000000476837,True
14,balanced,692.0,True
14,sr-led,685.9000000953674,True
15,nav-led,384.09999990463257,True
15,balanced,695.0999999046326,True
15,sr-led,696.3999998569489,True
16,nav-led,345.40000009536743,True
16,balanced,690.6999998092651,True
16,sr-led,692.8000001907349,True
17,nav-led,6952.600000143051,True
17,balanced,1525.2999999523163,True
17,sr-led,1422.2999999523163,True
18,sr-led,128.0,True
18,nav-led,690.7000000476837,True
18,balanced,693.0999999046326,True
19,sr-led,184.90000009536743,True
19,nav-led,693.7000000476837,True
19,balanced,692.9000000953674,True
20,sr-led,1395.6000001430511,True
20,nav-led,2191.0,True
20,balanced,2266.9000000953674,True
21,balanced,1147.1000001430511,True
21,sr-led,2211.600000143051,True
21,nav-led,2210.0,True
22,nav-led,2227.5,True
22,balanced,1901.0,True
22,sr-led,1892.4000000953674,True
23,nav-led,2140.600000143051,True
23,balanced,1933.0,True
23,sr-led,704.89999985695,True
24,balanced,983.0999999046326,True
24,sr-led,1821.2999999523163,True
24,nav-led,2380.899999856949,True
25,sr-led,1484.1000001430511,True
25,nav-led,2387.2000000476837,True
25,balanced,2293.2000000476837,True
26,sr-led,1137.699999809265,True
26,nav-led,2465.0,True
26,balanced,1240.200000047684,True
27,sr-led,1817.2000000476837,True
27,nav-led,3311.7999999523163,True
27,balanced,2167.7000000476837,True
28,sr-led,1657.0,True
28,nav-led,3252.7999999523163,True
28,balanced,2079.7999999523163,True
29,balanced,1306.7999999523163,True
29,sr-led,1304.5999999046326,True
29,nav-led,2251.09999990463,True
30,nav-led,1622.2000000476837,True
30,balanced,2195.0999999046326,True
30,sr-led,1534.0,True
31,nav-led,862.7000000476837,True
31,balanced,1869.5999999046326,True
31,sr-led,1692.4000000953674,True
32,sr-led,1665.599999904633,True
32,nav-led,3143.800000190735,True
32,balanced,1908.5,True
33,sr-led,346.2000000476837,True
33,nav-led,1061.2000000476837,True
33,balanced,984.0999999046326,True
34,nav-led,1923.0999999046326,True
34,balanced,1674.2000000476837,True
34,sr-led,1368.1999998092651,True
35,nav-led,1709.4000000953674,True
35,balanced,1682.0999999046326,True
35,sr-led,1621.3000001907349,True
36,nav-led,1988.3000001907349,True
36,balanced,1625.3999998569489,True
36,sr-led,1767.3000001907349,True
37,balanced,1218.2999999523163,True
37,sr-led,1532.5,True
37,nav-led,2597.2000000476837,True
38,nav-led,1483.5,True
38,balanced,2103.5,True
38,sr-led,1822.1999998092651,True
39,sr-led,460.2000000476837,True
39,nav-led,2814.899999856949,True
39,balanced,1654.9000000953674,True
40,sr-led,682.7999999523163,True
40,nav-led,1373.0,True
40,balanced,1132.100000143051,True
41,nav-led,2496.2999999523163,True
41,balanced,1815.6000001430511,True
41,sr-led,1674.1000001430511,True
42,sr-led,1701.0,True
42,nav-led,3130.30000019073,True
42,balanced,2486.10000014305,True
43,sr-led,669.2999999523163,True
43,nav-led,2532.7999999523163,True
43,balanced,1348.0999999046326,True
44,sr-led,1227.0,True
44,nav-led,1850.5,True
44,balanced,940.2000000476837,True
45,nav-led,1550.2999999523163,True
45,balanced,1807.0999999046326,True
45,sr-led,905.0999999046326,True
46,nav-led,3852.2000000476837,True
46,balanced,1806.7000000476837,True
46,sr-led,2223.0,True
47,nav-led,2080.100000143051,True
47,balanced,1674.5999999046326,True
